Player1,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won,Player2,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won
p1,Norbert Gombos,242.0,123.0,7.0,6.0,47.41379310344828,76.36363636363637,42.62295081967213,11.0,3.0,0.0,41.0,109.0,15.0,68.0,12.0,p2,Salvatore Caruso,267.0,137.0,5.0,3.0,62.38532110091744,67.64705882352942,53.65853658536586,13.0,4.0,0.0,48.0,116.0,17.0,68.0,13.0
p1,Roberto Marcora,246.0,143.0,5.0,1.0,62.31884057971014,65.11627906976744,53.84615384615385,9.0,3.0,0.0,32.0,74.0,11.0,42.0,8.0,p2,Mikael Ymer,265.0,169.0,2.0,1.0,73.75,62.71186440677966,52.38095238095239,10.0,5.0,0.0,27.0,75.0,14.0,48.0,9.0
p1,Filippo Baldi,251.0,133.0,2.0,1.0,65.47619047619048,63.63636363636363,51.724137931034484,5.0,2.0,0.0,35.0,85.0,11.0,50.0,9.0,p2,Facundo Arguello,267.0,194.0,4.0,2.0,58.51063829787234,72.72727272727273,48.717948717948715,5.0,4.0,0.0,34.0,93.0,15.0,59.0,11.0
p1,Kaichi Uchida,256.0,111.0,6.0,3.0,51.470588235294116,74.28571428571429,48.484848484848484,2.0,1.0,0.0,16.0,58.0,9.0,42.0,8.0,p2,Mirza Basic,308.0,131.0,6.0,0.0,64.0625,78.04878048780488,69.56521739130434,6.0,2.0,1.0,26.0,74.0,13.0,48.0,10.0
p1,Pedro Cachin,262.0,126.0,2.0,2.0,61.95652173913043,68.42105263157895,48.57142857142857,5.0,2.0,0.0,29.0,85.0,12.0,56.0,10.0,p2,Elliot Benchetrit,271.0,117.0,6.0,0.0,52.4390243902439,69.76744186046511,58.97435897435898,11.0,2.0,0.0,36.0,89.0,13.0,53.0,11.0
p1,Andrea Arnaboldi,277.0,152.0,1.0,1.0,72.04301075268818,62.68656716417911,61.53846153846154,7.0,3.0,0.0,40.0,98.0,15.0,58.0,12.0,p2,Geoffrey Blancaneaux,262.0,133.0,3.0,4.0,72.38095238095238,69.73684210526315,41.37931034482759,8.0,3.0,1.0,35.0,100.0,16.0,65.0,12.0
p1,Matteo Viola,206.0,138.0,0.0,7.0,62.88659793814433,60.65573770491803,36.11111111111111,7.0,3.0,0.0,26.0,76.0,10.0,50.0,7.0,p2,Mathias Bourgue,276.0,182.0,3.0,0.0,69.44444444444444,64.0,63.63636363636363,18.0,6.0,0.0,47.0,93.0,16.0,46.0,10.0
p1,Rogerio Dutra Silva,231.0,141.0,1.0,4.0,68.62745098039215,61.42857142857143,43.75,12.0,4.0,1.0,47.0,104.0,14.0,57.0,9.0,p2,Kimmer Coppejans,267.0,210.0,6.0,2.0,70.94017094017094,61.44578313253012,55.88235294117647,8.0,6.0,0.0,45.0,115.0,18.0,70.0,12.0
p1,Zdenek Kolar,262.0,127.0,1.0,1.0,78.125,62.66666666666667,47.61904761904761,14.0,3.0,0.0,41.0,98.0,14.0,57.0,11.0,p2,Antoine Cornut-Chauvinc,267.0,159.0,6.0,2.0,70.09345794392523,68.0,46.875,9.0,4.0,1.0,39.0,105.0,16.0,66.0,11.0
p1,Hiroki Moriya,216.0,193.0,1.0,6.0,60.43956043956044,56.36363636363636,47.22222222222222,5.0,4.0,0.0,25.0,73.0,11.0,48.0,7.0,p2,Steve Darcis,250.0,180.0,1.0,3.0,66.15384615384615,65.11627906976744,54.54545454545454,12.0,5.0,1.0,43.0,83.0,14.0,40.0,8.0
