Player1,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won,Player2,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won
p1,Roberto Bautista Agut,297.0,106.0,7.0,0.0,75.0,78.78787878787878,50.0,8.0,2.0,1.0,39.0,102.0,16.0,63.0,13.0,p2,Novak Djokovic,287.0,134.0,9.0,3.0,63.1578947368421,66.66666666666666,64.28571428571429,4.0,2.0,0.0,25.0,100.0,16.0,75.0,14.0
p1,Tomas Berdych,320.0,122.0,12.0,0.0,64.0625,75.60975609756098,78.26086956521739,9.0,2.0,1.0,32.0,81.0,13.0,49.0,10.0,p2,Marco Cecchinato,263.0,88.0,5.0,4.0,62.19512195121951,64.70588235294117,54.83870967741935,3.0,1.0,0.0,15.0,65.0,9.0,50.0,8.0
p1,Novak Djokovic,274.0,170.0,7.0,3.0,66.27906976744185,71.9298245614035,51.724137931034484,7.0,4.0,0.0,31.0,87.0,16.0,56.0,12.0,p2,Nikoloz Basilashvili,253.0,146.0,4.0,3.0,65.85365853658537,72.22222222222221,42.857142857142854,6.0,3.0,0.0,30.0,81.0,13.0,51.0,10.0
p1,Marco Cecchinato,336.0,134.0,4.0,0.0,79.66101694915254,76.59574468085107,75.0,7.0,2.0,1.0,21.0,66.0,13.0,45.0,10.0,p2,Dusan Lajovic,277.0,48.0,6.0,1.0,76.66666666666667,71.73913043478261,42.857142857142854,2.0,0.0,0.0,14.0,53.0,8.0,39.0,8.0
p1,Roberto Bautista Agut,298.0,120.0,2.0,1.0,75.71428571428571,73.58490566037736,47.05882352941176,14.0,2.0,0.0,36.0,83.0,12.0,47.0,10.0,p2,Stan Wawrinka,260.0,79.0,7.0,0.0,59.30232558139535,62.745098039215684,51.42857142857142,3.0,0.0,0.0,23.0,73.0,8.0,50.0,8.0
p1,Tomas Berdych,314.0,172.0,6.0,0.0,66.66666666666666,90.625,50.0,6.0,3.0,0.0,28.0,65.0,12.0,37.0,9.0,p2,Pierre-Hugues Herbert,247.0,59.0,5.0,2.0,66.66666666666666,61.36363636363637,50.0,2.0,0.0,0.0,11.0,49.0,6.0,38.0,6.0
p1,Novak Djokovic,293.0,185.0,5.0,1.0,70.66666666666667,73.58490566037736,59.09090909090909,6.0,4.0,0.0,36.0,88.0,16.0,52.0,12.0,p2,Marton Fucsovics,246.0,131.0,6.0,3.0,62.35294117647059,62.264150943396224,50.0,4.0,2.0,0.0,23.0,72.0,11.0,49.0,9.0
p1,Nikoloz Basilashvili,259.0,241.0,8.0,8.0,60.0,86.11111111111111,33.33333333333333,4.0,4.0,0.0,24.0,63.0,12.0,39.0,8.0,p2,Andrey Rublev,215.0,151.0,6.0,4.0,54.90196078431373,67.85714285714286,34.78260869565217,4.0,2.0,0.0,21.0,48.0,7.0,27.0,5.0
p1,Roberto Bautista Agut,302.0,227.0,2.0,0.0,67.3469387755102,75.75757575757575,68.75,7.0,4.0,0.0,26.0,62.0,12.0,36.0,8.0,p2,Guillermo Garcia-Lopez,194.0,91.0,2.0,4.0,65.3061224489796,62.5,17.647058823529413,4.0,1.0,0.0,13.0,36.0,5.0,23.0,4.0
p1,Tomas Berdych,273.0,146.0,3.0,2.0,66.29213483146067,74.57627118644068,50.0,14.0,4.0,0.0,47.0,106.0,17.0,59.0,13.0,p2,Fernando Verdasco,254.0,153.0,9.0,3.0,66.3716814159292,66.66666666666666,42.10526315789473,5.0,3.0,0.0,30.0,96.0,14.0,66.0,11.0
