Player1,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won,Player2,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won
p1,Agustin Velotti,206,45,3,3,49.09090909090909,77.77777777777779,28.57142857142857,2,0,0.0,10,39,4.0,29,4,p2,Andrey Rublev,307,187,4,0,47.72727272727273,80.95238095238095,73.91304347826086,9,4,0.0,26,60,12.0,34,8
p1,Yannik Reuter,207,109,0,2,68.0,52.94117647058824,37.5,4,1,0.0,19,43,5.0,24,4,p2,Casper Ruud,272,196,2,5,59.64912280701754,79.41176470588235,47.82608695652174,11,4,0.0,26,64,12.0,38,8
p1,Marco Chiudinelli,183,129,1,0,53.44827586206896,54.83870967741935,37.03703703703704,2,1,0.0,20,47,4.0,27,3,p2,Luca Vanni,265,215,9,7,42.857142857142854,83.33333333333334,50.0,11,5,0.0,31,67,12.0,36,7
p1,Kenny De Schepper,278,147,5,1,73.46938775510205,63.888888888888886,61.53846153846154,9,4,0.0,32,94,16.0,62,12,p2,Sergiy Stakhovsky,260,156,6,2,60.22727272727273,71.69811320754717,51.42857142857142,7,4,1.0,36,92,16.0,56,11
p1,Daniel Brands,208,101,6,2,63.63636363636363,60.0,30.0,8,1,0.0,26,53,5.0,27,4,p2,Guido Andreozzi,266,193,3,2,54.285714285714285,78.94736842105263,43.75,12,4,0.0,28,72,12.0,44,8
p1,Ruben Bemelmans,225,119,2,4,50.57471264367817,70.45454545454545,41.86046511627907,6,2,1.0,33,82,12.0,49,9,p2,Marco Trungelliti,269,173,4,5,57.291666666666664,78.18181818181819,48.78048780487805,10,5,0.0,38,101,18.0,63,13
p1,Brydan Klein,210,63,5,3,57.14285714285714,67.85714285714286,33.33333333333333,3,0,0.0,17,43,4.0,26,4,p2,Maximilian Marterer,290,229,2,1,51.85185185185185,78.57142857142857,57.692307692307686,5,4,0.0,23,60,12.0,37,8
p1,Yuki Bhambri,279,117,5,3,66.66666666666666,65.38461538461539,61.53846153846154,8,2,0.0,35,85,12.0,50,10,p2,Peter Polansky,271,189,6,1,59.375,70.17543859649122,53.84615384615385,2,2,2.0,28,89,14.0,61,10
p1,Duckhee Lee,165,164,0,0,58.82352941176471,45.0,39.285714285714285,8,3,0.0,22,51,5.0,29,2,p2,Ricardo Ojeda Lara,243,251,1,0,69.23076923076923,61.111111111111114,50.0,12,7,0.0,39,69,12.0,30,5
p1,Roberto Carballes Baena,244,155,3,5,65.93406593406593,55.00000000000001,61.29032258064516,8,4,0.0,33,85,13.0,52,9,p2,Teymuraz Gabashvili,248,169,5,2,51.162790697674424,75.0,47.61904761904761,10,5,0.0,39,92,15.0,53,10
p1,Benjamin Becker,221,142,0,6,48.0,69.44444444444444,43.58974358974359,7,3,0.0,30,72,11.0,42,8,p2,Laslo Djere,261,164,4,4,61.44578313253012,70.58823529411765,53.125,9,4,0.0,33,86,14.0,53,10
p1,Enrique Lopez Perez,209,170,7,3,54.54545454545454,75.0,20.0,1,1,0.0,16,49,6.0,33,5,p2,Arthur De Greef,302,206,6,0,66.66666666666666,69.44444444444444,72.22222222222221,7,4,1.0,33,71,13.0,38,8
p1,Joao Souza,178,184,0,2,69.38775510204081,50.0,33.33333333333333,1,1,0.0,16,38,3.0,22,2,p2,Leonardo Mayer,279,233,5,3,61.702127659574465,72.41379310344827,55.55555555555556,11,5,0.0,27,58,12.0,31,7
p1,Stefano Travaglia,241,117,6,3,49.557522123893804,66.07142857142857,54.385964912280706,13,3,1.0,51,119,15.0,68,11,p2,Peter Gojowczyk,253,156,12,10,45.80152671755725,75.0,49.29577464788733,11,5,0.0,45,125,18.0,80,13
p1,Matthew Ebden,208,53,5,5,66.23376623376623,56.86274509803921,34.61538461538461,2,0,0.0,10,48,4.0,38,4,p2,Bjorn Fratangelo,316,189,2,1,68.18181818181817,83.33333333333334,64.28571428571429,13,4,0.0,39,73,12.0,34,8
p1,Blaz Rola,255,86,7,2,58.730158730158735,72.97297297297297,38.46153846153847,7,1,0.0,22,59,9.0,37,8,p2,Mirza Basic,287,159,3,2,59.154929577464785,71.42857142857143,65.51724137931035,4,2,1.0,26,75,13.0,49,10
p1,Cristian Garin,284,143,7,0,59.22330097087378,73.77049180327869,61.904761904761905,8,4,0.0,33,104,18.0,71,14,p2,Simone Bolelli,276,141,4,2,68.22429906542055,76.71232876712328,52.94117647058824,5,3,2.0,32,106,18.0,74,13
p1,Mohamed Safwat,234,110,4,2,57.84313725490197,61.016949152542374,48.837209302325576,6,1,1.0,31,88,11.0,57,9,p2,Alexander Bublik,282,181,12,6,70.2127659574468,81.81818181818183,32.142857142857146,9,5,0.0,45,108,18.0,63,13
p1,Inigo Cervantes,225,146,6,4,45.714285714285715,68.75,44.73684210526316,4,2,0.0,23,62,9.0,39,7,p2,Salvatore Caruso,262,172,0,2,60.9375,74.35897435897436,48.0,8,4,0.0,31,72,13.0,41,9
p1,Ti Chen,260,172,3,0,61.44578313253012,74.50980392156863,37.5,1,1,0.0,20,70,11.0,50,10,p2,Joris De Loore,307,137,10,1,71.01449275362319,75.51020408163265,60.0,6,2,1.0,33,82,14.0,49,11
p1,Jonathan Eysseric,230,96,6,3,51.61290322580645,68.75,40.0,7,1,0.0,25,59,7.0,34,6,p2,Matteo Donati,289,167,1,1,71.01449275362319,63.26530612244898,65.0,7,3,0.0,28,72,12.0,44,9
p1,Marcelo Arevalo,221,175,3,2,63.934426229508205,51.28205128205128,54.54545454545454,1,1,0.0,13,45,6.0,32,5,p2,Maximo Gonzalez,295,200,1,0,70.2127659574468,78.78787878787878,57.14285714285714,9,5,0.0,29,63,13.0,34,8
p1,Kristijan Mesaros,257,165,2,3,60.550458715596335,69.6969696969697,51.162790697674424,12,5,0.0,62,130,18.0,68,13,p2,Alejandro Gonzalez,244,159,7,2,63.44827586206897,68.47826086956522,37.735849056603776,7,4,2.0,41,124,18.0,83,12
p1,Adrian Menendez-Maceiras,197,158,1,4,57.8125,59.45945945945946,33.33333333333333,3,2,0.0,18,49,7.0,31,5,p2,Maxime Hamou,268,196,3,1,56.60377358490566,76.66666666666667,52.17391304347826,13,5,0.0,33,68,13.0,35,8
p1,Di Wu,162,106,1,0,55.769230769230774,41.37931034482759,39.130434782608695,4,1,0.0,13,34,3.0,21,2,p2,Uladzimir Ignatik,302,262,8,0,76.31578947368422,65.51724137931035,66.66666666666666,9,6,0.0,31,56,12.0,25,6
p1,Kimmer Coppejans,150,170,2,4,52.38095238095239,45.45454545454545,30.0,3,2,0.0,17,33,4.0,16,2,p2,Ilya Ivashka,251,267,1,4,56.52173913043478,76.92307692307693,45.0,9,6,0.0,26,55,12.0,29,6
p1,Geoffrey Blancaneaux,209,131,1,4,51.66666666666667,74.19354838709677,31.03448275862069,9,2,0.0,34,66,7.0,32,5,p2,Maxime Janvier,255,183,5,2,60.97560975609756,70.0,40.625,9,4,0.0,28,76,12.0,48,8
p1,Rajeev Ram,280,128,3,1,63.888888888888886,78.26086956521739,57.692307692307686,9,3,0.0,32,83,14.0,51,11,p2,Tobias Kamke,273,160,0,2,70.32967032967034,68.75,55.55555555555556,4,3,0.0,21,80,15.0,59,12
p1,John-Patrick Smith,259,47,3,0,86.20689655172413,57.99999999999999,50.0,1,0,0.0,11,44,5.0,33,5,p2,Bradley Klahn,310,152,2,2,57.14285714285714,82.14285714285714,71.42857142857143,13,3,0.0,25,63,12.0,38,9
p1,Igor Sijsling,222,185,2,0,40.625,76.92307692307693,42.10526315789473,1,1,0.0,9,27,4.0,18,3,p2,Jozef Kovalik,276,154,1,0,59.25925925925925,62.5,72.72727272727273,6,2,0.0,14,32,6.0,18,4
p1,Corentin Moutet,214,196,1,5,69.3069306930693,54.285714285714285,41.935483870967744,13,7,0.0,41,92,15.0,51,8,p2,Stefan Kozlov,214,200,1,3,59.30232558139535,52.94117647058824,51.42857142857142,14,7,0.0,50,95,15.0,45,8
p1,Sam Groth,246,120,14,9,50.96153846153846,71.69811320754717,45.09803921568628,10,3,0.0,28,89,14.0,61,11,p2,Filip Krajinovic,274,166,3,1,63.095238095238095,69.81132075471697,61.29032258064516,7,4,1.0,43,99,16.0,56,11
