Player1,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won,Player2,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won
p1,Vaclav Safranek,216,41,1,0,53.70370370370371,65.51724137931035,40.0,1,0,0.0,8,37,5.0,29,5,p2,Denis Kudla,314,188,1,1,54.761904761904766,91.30434782608695,68.42105263157895,8,4,0.0,25,59,12.0,34,8
p1,Akira Santillan,167,131,4,5,47.27272727272727,53.84615384615385,34.48275862068966,8,2,0.0,26,50,5.0,24,3,p2,Mackenzie McDonald,268,238,0,2,74.60317460317461,57.446808510638306,62.5,10,6,0.0,31,68,12.0,37,6
p1,Miljan Zekic,203,194,1,4,42.028985507246375,58.620689655172406,50.0,2,2,0.0,20,57,7.0,37,5,p2,Vincent Millot,260,179,2,3,55.35714285714286,74.19354838709677,52.0,9,4,0.0,32,68,12.0,36,8
p1,Lorenzo Giustino,234,103,2,3,55.932203389830505,66.66666666666666,42.30769230769231,4,1,0.0,22,55,8.0,33,7,p2,Stefano Napolitano,287,171,5,0,60.0,66.66666666666666,65.38461538461539,6,3,0.0,26,69,12.0,43,9
p1,Daniel Munoz de la Nava,303,104,6,1,66.3157894736842,76.19047619047619,62.5,3,1,0.0,30,98,16.0,68,15,p2,Reilly Opelka,296,101,14,3,56.70103092783505,80.0,54.761904761904766,3,1,1.0,27,94,17.0,67,15
p1,Mitchell Krueger,181,58,0,1,50.0,40.0,50.0,4,0,0.0,12,30,3.0,18,3,p2,Oscar Otte,309,224,4,3,65.21739130434783,80.0,62.5,7,4,0.0,22,56,12.0,34,8
p1,Gregoire Barrere,254,115,4,6,55.44554455445545,69.64285714285714,55.55555555555556,14,3,0.0,46,110,15.0,64,12,p2,Matija Pecotic,258,143,5,6,54.09836065573771,71.21212121212122,51.78571428571429,9,4,0.0,37,113,18.0,76,14
p1,Michael Mmoh,232,143,9,3,56.97674418604651,73.46938775510205,32.432432432432435,10,4,0.0,31,79,13.0,48,9,p2,Marc Polmans,263,193,2,0,65.06024096385542,61.111111111111114,65.51724137931035,8,5,1.0,38,90,15.0,52,9
p1,Ruben Ramirez Hidalgo,189,140,1,2,61.111111111111114,51.515151515151516,33.33333333333333,4,2,0.0,17,41,6.0,24,4,p2,Dmitry Popko,255,220,1,2,46.93877551020408,73.91304347826086,57.692307692307686,10,5,0.0,30,62,12.0,32,7
p1,Aldin Setkic,258,103,2,8,65.97938144329896,73.4375,45.45454545454545,14,2,0.0,39,101,14.0,62,12,p2,Roberto Quiroz,282,162,10,2,63.55140186915887,67.64705882352942,56.41025641025641,5,3,0.0,35,103,16.0,68,13
p1,Federico Gaio,272,92,9,5,53.78151260504202,73.4375,52.72727272727272,4,1,1.0,35,111,17.0,76,15,p2,Gleb Sakharov,299,114,8,1,59.64912280701754,70.58823529411765,67.3913043478261,7,2,1.0,43,122,19.0,79,16
p1,Lukas Rosol,287,83,8,1,65.59139784946237,72.1311475409836,56.25,8,1,0.0,29,91,14.0,62,13,p2,Jan Satral,287,103,10,2,50.0,71.73913043478261,65.21739130434783,11,2,1.0,31,94,16.0,63,13
p1,James McGee,166,56,0,0,57.77777777777777,53.84615384615385,26.31578947368421,1,0,0.0,11,30,2.0,19,2,p2,Tim Smyczek,300,262,5,2,52.5,85.71428571428571,57.89473684210527,7,5,0.0,26,55,12.0,29,7
p1,Andrew Whittington,226,53,3,2,64.58333333333334,58.06451612903226,47.05882352941176,5,0,0.0,15,41,5.0,26,5,p2,Pedro Sousa,320,219,1,1,72.54901960784314,67.56756756756756,78.57142857142857,5,4,0.0,22,58,12.0,36,8
p1,Daniel Gimeno-Traver,222,194,0,5,67.07317073170732,52.72727272727272,44.44444444444444,4,3,0.0,27,68,10.0,41,7,p2,Yasutaka Uchiyama,254,189,4,1,71.21212121212122,65.95744680851064,42.10526315789473,8,4,1.0,41,80,13.0,39,8
p1,Feliciano Lopez,306,78,13,2,63.04347826086957,86.20689655172413,52.94117647058824,7,1,0.0,30,98,16.0,68,15,p2,Lucas Pouille,315,167,29,4,55.23809523809524,77.58620689655173,63.829787234042556,1,1,1.0,24,99,17.0,75,15
p1,Benoit Paire,305,52,11,2,63.38028169014085,80.0,61.53846153846154,2,0,0.0,15,67,11.0,52,11,p2,Lucas Pouille,330,166,13,1,70.4225352112676,86.0,61.904761904761905,1,1,1.0,19,75,14.0,56,12
p1,Mischa Zverev,319,52,15,2,70.29702970297029,81.69014084507043,60.0,0,0,1.0,24,100,18.0,76,17,p2,Feliciano Lopez,338,113,15,2,77.45098039215686,78.48101265822784,69.56521739130434,2,1,1.0,25,103,20.0,78,18
p1,Tomas Berdych,308,67,21,2,63.52941176470588,81.48148148148148,58.06451612903226,9,0,1.0,35,97,14.0,62,13,p2,Feliciano Lopez,309,99,19,4,60.71428571428571,76.47058823529412,56.81818181818182,8,2,0.0,23,100,18.0,77,16
p1,Philipp Kohlschreiber,281,116,11,2,63.1578947368421,79.16666666666666,46.42857142857143,7,2,0.0,31,82,13.0,51,11,p2,Lucas Pouille,280,140,10,1,58.620689655172406,68.62745098039215,58.333333333333336,4,2,0.0,25,81,14.0,56,12
p1,Tommy Haas,268,64,0,2,68.75,65.9090909090909,55.00000000000001,3,0,0.0,12,52,8.0,40,8,p2,Mischa Zverev,321,124,16,1,70.37037037037037,92.10526315789474,43.75,8,2,0.0,24,66,12.0,42,10
p1,Jerzy Janowicz,267,61,2,2,70.17543859649122,72.5,47.05882352941176,0,0,0.0,13,50,7.0,37,7,p2,Benoit Paire,316,153,15,5,67.24137931034483,92.3076923076923,47.368421052631575,4,2,1.0,20,65,13.0,45,10
p1,Roger Federer,307,124,23,2,74.46808510638297,75.71428571428571,50.0,12,3,0.0,40,105,16.0,65,13,p2,Tommy Haas,268,154,12,7,61.6822429906542,69.6969696969697,51.21951219512195,3,2,1.0,29,96,15.0,67,12
p1,Grigor Dimitrov,329,63,16,1,58.333333333333336,85.71428571428571,80.0,3,0,0.0,17,57,9.0,40,9,p2,Jerzy Janowicz,318,144,12,1,68.57142857142857,87.5,50.0,1,1,1.0,8,61,13.0,53,11
p1,Bernard Tomic,241,101,3,3,60.810810810810814,68.88888888888889,41.37931034482759,3,1,0.0,14,57,8.0,43,7,p2,Tomas Berdych,313,170,14,0,66.66666666666666,84.21052631578947,57.89473684210527,6,3,1.0,31,74,13.0,43,9
p1,Jan-Lennard Struff,293,104,12,6,54.12844036697248,83.05084745762711,56.00000000000001,11,2,0.0,49,126,18.0,77,16,p2,Lucas Pouille,271,83,15,10,52.59259259259259,77.46478873239437,48.4375,6,1,2.0,32,118,18.0,86,15
p1,Steve Johnson,286,104,15,10,52.84552845528455,86.15384615384616,48.275862068965516,7,2,0.0,36,120,19.0,84,17,p2,Philipp Kohlschreiber,288,91,10,4,57.98319327731093,79.71014492753623,56.00000000000001,5,1,2.0,39,122,19.0,83,16
p1,Yannick Hanfmann,241,84,5,2,71.01449275362319,67.3469387755102,30.0,11,1,0.0,23,62,8.0,39,7,p2,Mischa Zverev,289,176,6,1,59.45945945945946,75.0,60.0,7,3,1.0,30,81,13.0,51,9
p1,Jeremy Chardy,271,102,14,7,66.66666666666666,75.0,46.15384615384615,4,1,0.0,24,75,11.0,51,10,p2,Feliciano Lopez,293,152,13,4,61.53846153846154,83.33333333333334,46.666666666666664,6,3,0.0,27,81,15.0,54,12
p1,Peter Gojowczyk,221,109,4,2,60.37735849056604,65.625,38.095238095238095,2,1,0.0,11,40,6.0,29,5,p2,Benoit Paire,305,240,9,3,58.69565217391305,77.77777777777779,73.68421052631578,4,4,0.0,24,59,12.0,35,8
p1,Maximilian Marterer,307,164,9,2,77.6595744680851,72.6027397260274,61.904761904761905,2,2,0.0,20,86,16.0,66,14,p2,Steve Johnson,308,127,10,3,65.85365853658537,77.77777777777779,71.42857142857143,4,2,1.0,28,90,16.0,62,13
p1,Malek Jaziri,189,41,2,7,36.17021276595745,64.70588235294117,43.333333333333336,0,0,0.0,6,30,4.0,24,4,p2,Mischa Zverev,339,222,7,1,73.68421052631578,89.28571428571429,70.0,5,4,0.0,23,55,12.0,32,8
p1,Gilles Simon,207,147,0,1,71.42857142857143,55.00000000000001,37.5,4,2,0.0,20,62,6.0,42,4,p2,Feliciano Lopez,256,196,8,4,50.0,81.48148148148148,44.44444444444444,15,5,0.0,42,76,12.0,34,7
p1,Viktor Troicki,225,152,4,2,52.459016393442624,59.375,51.724137931034484,3,2,0.0,19,53,8.0,34,6,p2,Benoit Paire,262,196,6,4,44.642857142857146,80.0,54.83870967741935,6,4,0.0,27,64,12.0,37,8
p1,Florian Mayer,319,72,9,3,73.45132743362832,73.49397590361446,66.66666666666666,9,1,0.0,28,109,18.0,81,17,p2,Jeremy Chardy,326,60,25,5,67.85714285714286,80.26315789473685,63.888888888888886,6,0,2.0,32,116,18.0,84,16
p1,Nikoloz Basilashvili,249,121,4,3,66.66666666666666,63.04347826086957,52.17391304347826,7,2,0.0,26,67,10.0,41,8,p2,Peter Gojowczyk,268,162,8,2,54.794520547945204,85.0,39.39393939393939,9,4,0.0,28,75,14.0,47,10
p1,Pierre-Hugues Herbert,275,124,11,7,48.888888888888886,81.81818181818183,54.347826086956516,2,1,0.0,27,88,14.0,61,13,p2,Tommy Haas,296,144,8,5,67.77777777777779,77.04918032786885,55.172413793103445,3,2,0.0,29,92,17.0,63,15
p1,Marton Fucsovics,216,148,4,4,54.83870967741935,70.58823529411765,35.714285714285715,5,2,0.0,27,61,8.0,34,6,p2,Yannick Hanfmann,262,209,4,2,68.18181818181817,64.44444444444444,47.61904761904761,7,5,0.0,28,67,13.0,39,8
p1,Andrey Kuznetsov,271,97,9,6,47.61904761904761,77.5,56.81818181818182,7,1,0.0,33,89,13.0,56,12,p2,Jerzy Janowicz,279,120,5,5,62.5,76.66666666666667,47.22222222222222,5,2,0.0,28,91,15.0,63,13
p1,Marcos Baghdatis,160,68,0,2,40.0,70.0,26.666666666666668,0,0,0.0,7,18,1.0,11,1,p2,Philipp Kohlschreiber,290,238,4,1,54.54545454545454,91.66666666666666,40.0,5,3,0.0,14,29,6.0,15,3
p1,Lukas Lacko,286,57,6,2,60.810810810810814,75.55555555555556,55.172413793103445,8,0,0.0,23,73,10.0,50,10,p2,Jan-Lennard Struff,297,98,9,5,49.382716049382715,92.5,51.21951219512195,5,1,1.0,24,82,13.0,58,11
p1,Stephane Robert,205,153,11,15,47.87234042553192,71.11111111111111,36.734693877551024,5,3,0.0,29,79,10.0,50,7,p2,Bernard Tomic,272,176,12,2,56.09756097560976,69.56521739130434,58.333333333333336,16,6,0.0,44,97,17.0,53,11
p1,Alexander Bublik,250,158,12,3,65.21739130434783,64.44444444444444,41.66666666666667,1,1,0.0,13,52,8.0,39,7,p2,Lukas Lacko,318,167,8,1,70.17543859649122,80.0,70.58823529411765,7,3,0.0,30,74,13.0,44,10
p1,Ruben Bemelmans,311,65,6,1,70.96774193548387,72.72727272727273,72.22222222222221,1,0,0.0,23,68,10.0,45,10,p2,Peter Gojowczyk,299,89,8,4,59.74025974025974,80.43478260869566,54.83870967741935,4,1,1.0,17,71,13.0,54,11
p1,Marco Chiudinelli,240,172,4,2,70.45454545454545,51.61290322580645,57.692307692307686,4,3,0.0,21,68,10.0,47,7,p2,Marton Fucsovics,254,187,5,5,50.847457627118644,73.33333333333333,55.172413793103445,9,5,0.0,41,79,14.0,38,9
p1,Yannick Maden,200,103,0,0,62.5,48.888888888888886,44.44444444444444,5,1,0.0,13,47,5.0,34,4,p2,Yannick Hanfmann,282,195,4,1,62.7906976744186,85.18518518518519,43.75,15,5,0.0,38,68,12.0,30,7
p1,Daniel Brands,221,142,5,3,66.66666666666666,61.36363636363637,36.36363636363637,5,2,0.0,22,57,7.0,35,5,p2,Lukas Lacko,266,191,3,1,64.51612903225806,77.5,40.909090909090914,9,4,0.0,31,71,12.0,40,8
p1,Yasutaka Uchiyama,292,103,14,2,72.16494845360825,78.57142857142857,37.03703703703704,9,2,0.0,30,95,15.0,65,13,p2,Ruben Bemelmans,285,108,2,2,65.95744680851064,70.96774193548387,62.5,6,1,1.0,32,96,14.0,64,12
p1,Taylor Fritz,254,124,12,2,59.0,71.1864406779661,41.46341463414634,10,3,0.0,42,101,14.0,59,11,p2,Marco Chiudinelli,282,164,7,1,71.30434782608695,65.85365853658537,57.57575757575758,8,4,0.0,41,114,17.0,73,13
p1,Daniel Masur,235,116,4,3,76.84210526315789,68.4931506849315,22.727272727272727,9,2,0.0,35,90,12.0,55,10,p2,Peter Gojowczyk,278,173,14,4,62.5,73.33333333333333,47.22222222222222,16,5,0.0,40,101,17.0,61,12
p1,Mirza Basic,239,109,1,2,65.0,71.7948717948718,33.33333333333333,3,1,0.0,22,57,8.0,35,7,p2,Alexander Bublik,288,185,8,6,62.857142857142854,75.0,57.692307692307686,5,3,0.0,25,73,13.0,48,10
p1,Daniel Altmaier,267,55,4,2,57.14285714285714,78.57142857142857,52.38095238095239,0,0,0.0,14,47,7.0,33,7,p2,Marton Fucsovics,304,191,4,1,56.36363636363636,87.09677419354838,58.333333333333336,2,2,0.0,16,57,12.0,41,10
p1,Vincent Millot,233,137,3,7,60.86956521739131,67.85714285714286,41.66666666666667,9,3,0.0,43,96,13.0,53,10,p2,Yannick Maden,273,173,5,0,73.45132743362832,67.46987951807229,46.666666666666664,10,5,0.0,39,109,18.0,70,13
p1,Lukas Rosol,265,137,3,4,57.47126436781609,74.0,51.35135135135135,4,2,0.0,28,84,13.0,56,11,p2,Yannick Hanfmann,284,119,7,1,66.25,67.9245283018868,59.25925925925925,7,2,0.0,31,83,14.0,52,12
p1,Ivo Karlovic,328,31,19,2,65.38461538461539,76.47058823529412,70.37037037037037,0,0,0.0,7,65,12.0,58,12,p2,Gilles Muller,365,54,22,1,75.38461538461539,93.87755102040816,75.0,0,0,2.0,20,78,14.0,58,12
p1,Marin Cilic,311,91,16,8,68.86792452830188,86.3013698630137,48.484848484848484,8,1,0.0,41,120,19.0,79,18,p2,Ivo Karlovic,318,66,29,6,73.68421052631578,75.51020408163265,51.42857142857142,2,0,2.0,27,119,19.0,92,17
p1,Alexander Zverev,269,64,6,2,69.11764705882352,68.08510638297872,47.61904761904761,0,0,0.0,16,58,8.0,42,8,p2,Gilles Muller,304,129,5,6,68.85245901639344,83.33333333333334,52.63157894736842,8,2,1.0,26,71,13.0,45,10
p1,Vasek Pospisil,251,180,9,3,63.63636363636363,71.42857142857143,40.0,1,1,0.0,16,49,8.0,33,7,p2,Marin Cilic,293,194,9,3,68.42105263157895,84.61538461538461,44.44444444444444,4,3,0.0,22,63,13.0,41,10
p1,Julien Benneteau,214,68,2,1,62.264150943396224,60.60606060606061,40.0,0,0,0.0,10,38,4.0,28,4,p2,Alexander Zverev,319,216,13,1,74.4186046511628,87.5,45.45454545454545,6,4,0.0,25,58,12.0,33,8
p1,Daniil Medvedev,270,42,4,2,68.25396825396825,65.11627906976744,55.00000000000001,0,0,0.0,9,48,8.0,39,8,p2,Ivo Karlovic,330,167,7,1,65.3061224489796,87.5,70.58823529411765,3,2,0.0,24,64,12.0,40,10
p1,Aljaz Bedene,263,126,6,1,58.333333333333336,75.51020408163265,45.714285714285715,6,2,0.0,24,77,13.0,53,11,p2,Gilles Muller,283,126,8,3,71.7948717948718,80.35714285714286,40.909090909090914,11,3,0.0,31,85,15.0,54,12
p1,Janko Tipsarevic,279,44,7,1,66.66666666666666,70.96774193548387,54.83870967741935,0,0,1.0,16,77,13.0,61,12,p2,Marin Cilic,335,137,17,2,63.74999999999999,84.31372549019608,72.41379310344827,7,3,0.0,32,96,18.0,64,15
p1,Adrian Mannarino,191,138,0,3,59.09090909090909,57.692307692307686,33.33333333333333,4,1,0.0,16,37,5.0,21,4,p2,Alexander Zverev,277,264,10,2,81.63265306122449,77.5,22.22222222222222,5,5,0.0,23,56,12.0,33,7
p1,Stefan Kozlov,239,46,3,4,75.0,66.66666666666666,36.36363636363637,0,0,0.0,8,34,5.0,26,5,p2,Ivo Karlovic,331,184,9,1,68.88888888888889,90.32258064516128,64.28571428571429,6,3,0.0,18,55,12.0,37,9
p1,Andreas Seppi,277,50,6,3,53.75,83.72093023255815,45.94594594594595,3,0,0.0,19,72,10.0,53,10,p2,Gilles Muller,310,99,15,3,47.94520547945205,88.57142857142857,60.526315789473685,5,1,1.0,27,81,13.0,54,11
p1,Nicolas Mahut,239,112,12,5,56.56565656565656,73.21428571428571,32.55813953488372,4,1,0.0,24,79,10.0,55,9,p2,Julien Benneteau,280,153,2,4,69.86301369863014,76.47058823529412,45.45454545454545,14,4,0.0,44,93,15.0,49,11
p1,Ernesto Escobedo,233,44,3,4,55.714285714285715,79.48717948717949,29.03225806451613,0,0,0.0,7,47,7.0,40,7,p2,Aljaz Bedene,329,160,10,2,65.11627906976744,96.42857142857143,60.0,8,3,0.0,30,66,12.0,36,9
p1,Thanasi Kokkinakis,276,48,8,5,58.2089552238806,82.05128205128204,42.857142857142854,0,0,0.0,13,57,9.0,44,9,p2,Daniil Medvedev,325,105,11,1,63.33333333333333,84.21052631578947,68.18181818181817,5,1,1.0,23,70,13.0,47,11
p1,Alexandr Dolgopolov,249,100,5,2,47.69230769230769,67.74193548387096,52.94117647058824,6,1,0.0,22,61,8.0,39,7,p2,Vasek Pospisil,289,134,14,2,61.19402985074627,78.04878048780488,50.0,6,2,1.0,26,71,11.0,45,8
p1,Steve Darcis,279,64,6,1,73.61111111111111,62.264150943396224,57.89473684210527,2,0,0.0,26,70,8.0,44,8,p2,Alexandr Dolgopolov,288,133,10,4,45.56962025316456,83.33333333333334,53.48837209302325,6,2,1.0,28,81,13.0,53,10
p1,Robin Haase,298,91,3,1,65.625,73.01587301587301,63.63636363636363,13,1,0.0,40,107,15.0,67,14,p2,Daniil Medvedev,288,83,7,5,70.33898305084746,72.28915662650603,51.42857142857142,7,1,1.0,29,107,16.0,78,14
p1,Dennis Novikov,279,69,13,1,69.35483870967742,62.7906976744186,57.89473684210527,3,0,0.0,17,55,7.0,38,7,p2,Nicolas Mahut,320,141,15,1,75.40983606557377,78.26086956521739,53.333333333333336,5,2,0.0,24,68,12.0,44,10
p1,Denis Istomin,245,102,3,2,62.857142857142854,56.81818181818182,57.692307692307686,2,1,0.0,12,52,9.0,40,8,p2,Aljaz Bedene,320,168,8,0,64.91228070175438,81.08108108108108,75.0,8,4,0.0,30,75,15.0,45,11
p1,Evgeny Donskoy,276,121,7,5,56.86274509803921,77.58620689655173,52.27272727272727,12,2,0.0,47,115,16.0,68,14,p2,Julien Benneteau,270,132,14,5,66.11570247933885,75.0,34.146341463414636,4,2,1.0,34,108,16.0,74,13
