Player1,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won,Player2,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won
p1,Nick Kyrgios,310,147,19,2,69.44444444444444,82.0,50.0,6,3,0.0,26,78,15.0,52,12,p2,Grigor Dimitrov,260,125,5,6,59.45945945945946,72.72727272727273,53.333333333333336,2,1,0.0,20,68,11.0,48,10
p1,Ryan Harrison,274,189,14,5,60.86956521739131,70.0,53.333333333333336,3,3,1.0,29,102,17.0,73,13,p2,Alex de Minaur,280,145,9,5,65.95744680851064,79.03225806451613,50.0,6,3,0.0,42,107,16.0,65,13
p1,Grigor Dimitrov,296,108,12,9,63.10679611650486,83.07692307692308,47.368421052631575,6,2,0.0,27,99,18.0,72,16,p2,Kyle Edmund,289,70,6,1,59.55056179775281,73.58490566037736,63.888888888888886,2,0,1.0,31,93,14.0,62,13
p1,Nick Kyrgios,289,138,18,5,62.31884057971014,88.37209302325581,42.30769230769231,4,2,0.0,26,75,13.0,49,11,p2,Alexandr Dolgopolov,269,152,6,3,54.666666666666664,80.48780487804879,47.05882352941176,3,2,0.0,20,69,13.0,49,11
p1,Alex de Minaur,307,209,6,1,50.0,78.26086956521739,73.91304347826086,7,4,0.0,25,60,12.0,35,8,p2,Michael Mmoh,203,48,3,5,56.86274509803921,62.06896551724138,36.36363636363637,3,0,0.0,11,37,4.0,26,4
p1,Ryan Harrison,287,131,11,2,56.666666666666664,79.41176470588235,53.84615384615385,7,2,1.0,26,67,11.0,41,8,p2,Denis Istomin,268,128,3,1,68.65671641791045,63.04347826086957,57.14285714285714,2,1,0.0,19,60,8.0,41,7
p1,Grigor Dimitrov,264,148,6,5,57.52212389380531,78.46153846153847,45.83333333333333,6,3,1.0,37,110,17.0,73,13,p2,John Millman,272,137,5,1,66.33663366336634,68.65671641791045,52.94117647058824,7,3,0.0,40,104,15.0,64,12
p1,Nick Kyrgios,313,108,13,2,62.0,85.48387096774194,55.26315789473685,7,2,1.0,31,105,19.0,74,16,p2,Matthew Ebden,303,60,11,2,74.28571428571429,74.35897435897436,59.25925925925925,2,0,1.0,26,100,15.0,74,14
p1,Alex de Minaur,289,140,5,0,61.19402985074627,70.73170731707317,61.53846153846154,10,3,0.0,24,69,12.0,45,9,p2,Milos Raonic,255,94,9,4,60.317460317460316,68.42105263157895,52.0,6,1,0.0,22,61,8.0,39,7
p1,Michael Mmoh,277,150,12,3,60.36036036036037,71.64179104477611,50.0,8,4,0.0,29,99,17.0,70,13,p2,Mischa Zverev,267,116,11,3,60.24096385542169,74.0,51.515151515151516,8,2,0.0,41,95,13.0,54,11
p1,Alexandr Dolgopolov,304,246,9,2,64.70588235294117,75.75757575757575,55.55555555555556,7,5,0.0,27,62,12.0,35,7,p2,Horacio Zeballos,181,68,2,2,57.14285714285714,53.57142857142857,33.33333333333333,4,0,0.0,16,38,3.0,22,3
