Player1,winner_name,winner_serve_rating,winner_return_rating,winner_aces,winner_double_faults,winner_first_serve_percent,winner_win%_on_first_serve,winner_win%_on_second_serve,winner_break_points_faced,winner_break_points_converted,winner_tiebreaks_won,winner_return_points_won,winner_total_points_won,winner_games_won,winner_service_points_won,winner_service_games_won,Player2,loser_name,loser_serve_rating,loser_return_rating,loser_aces,loser_double_faults,loser_first_serve_percent,loser_win%_on_first_serve,loser_win%_on_second_serve,loser_break_points_faced,loser_break_points_converted,loser_tiebreaks_won,loser_return_points_won,loser_total_points_won,loser_games_won,loser_service_points_won,loser_service_games_won
p1,Kyle Edmund,288,109,12,3,64.70588235294117,81.81818181818183,44.44444444444444,8,2,1.0,38,108,18.0,70,15,p2,Hyeon Chung,294,152,11,1,68.80733944954129,68.0,58.82352941176471,3,2,0.0,32,103,17.0,71,15
p1,Ryan Harrison,298,152,19,5,56.25,79.62962962962963,54.761904761904766,11,4,0.0,48,114,18.0,66,14,p2,Yannick Hanfmann,242,82,5,5,59.130434782608695,73.52941176470588,36.17021276595745,9,1,1.0,30,97,13.0,67,11
p1,Denis Istomin,278,169,6,1,71.42857142857143,77.77777777777779,44.44444444444444,9,4,1.0,31,74,13.0,43,8,p2,Jared Donaldson,219,127,4,9,48.61111111111111,74.28571428571429,40.54054054054054,7,2,0.0,20,61,8.0,41,6
p1,Hyeon Chung,300,140,7,4,54.6875,82.85714285714286,58.620689655172406,5,2,1.0,25,71,13.0,46,10,p2,Gilles Muller,273,58,19,5,58.82352941176471,82.5,35.714285714285715,2,0,0.0,18,61,9.0,43,9
p1,Alexandr Dolgopolov,285,164,6,4,57.971014492753625,80.0,55.172413793103445,3,2,1.0,28,76,13.0,48,10,p2,Diego Schwartzman,250,99,1,2,48.57142857142857,64.70588235294117,55.55555555555556,4,1,0.0,21,63,10.0,42,9
p1,Denis Istomin,278,165,7,0,70.2127659574468,72.72727272727273,42.857142857142854,16,6,0.0,54,114,18.0,60,12,p2,Damir Dzumhur,219,116,8,6,44.166666666666664,69.81132075471697,43.28358208955223,11,2,1.0,34,100,12.0,66,9
p1,Mischa Zverev,261,231,4,1,77.27272727272727,68.62745098039215,40.0,6,5,0.0,34,75,13.0,41,8,p2,John-Patrick Smith,229,168,4,0,73.91304347826086,52.94117647058824,44.44444444444444,6,3,0.0,25,60,9.0,35,6
p1,Alex de Minaur,297,128,9,3,56.060606060606055,86.48648648648648,58.620689655172406,6,2,1.0,30,79,13.0,49,10,p2,Steve Johnson,262,97,6,2,53.75,76.74418604651163,45.94594594594595,3,1,0.0,17,67,10.0,50,9
p1,Jared Donaldson,277,186,5,3,55.172413793103445,78.125,53.84615384615385,11,4,0.0,30,69,12.0,39,8,p2,Jordan Thompson,213,99,3,5,66.12903225806451,60.97560975609756,33.33333333333333,5,1,0.0,19,51,6.0,32,5
p1,Matthew Ebden,302,229,7,1,66.66666666666666,71.875,68.75,5,4,0.0,22,56,12.0,34,8,p2,Frances Tiafoe,205,103,4,4,54.347826086956516,72.0,28.57142857142857,3,1,0.0,14,38,5.0,24,4
p1,Kyle Edmund,295,144,5,5,57.52212389380531,83.07692307692308,60.416666666666664,3,2,1.0,28,111,19.0,83,16,p2,Denis Shapovalov,297,79,18,5,62.0,87.09677419354838,47.368421052631575,6,1,1.0,30,102,17.0,72,15
p1,Ryan Harrison,300,168,9,2,59.756097560975604,79.59183673469387,60.60606060606061,4,3,0.0,28,87,15.0,59,12,p2,Leonardo Mayer,272,77,10,3,58.75,70.2127659574468,57.57575757575758,9,1,0.0,23,75,12.0,52,11
p1,John Millman,331,152,8,0,64.91228070175438,72.97297297297297,85.0,10,3,1.0,33,77,13.0,44,9,p2,Peter Polansky,235,42,1,1,58.108108108108105,55.81395348837209,54.83870967741935,1,0,0.0,13,54,6.0,41,6
p1,Michael Mmoh,319,192,5,4,69.0909090909091,84.21052631578947,64.70588235294117,2,2,0.0,12,55,12.0,43,10,p2,Federico Delbonis,289,51,4,0,77.77777777777779,80.0,50.0,3,0,0.0,12,45,7.0,33,7
p1,Horacio Zeballos,313,124,12,3,64.91228070175438,83.78378378378379,55.00000000000001,6,2,0.0,16,58,12.0,42,10,p2,Ernesto Escobedo,280,61,9,0,62.745098039215684,78.125,52.63157894736842,1,0,0.0,15,50,7.0,35,7
p1,Peter Polansky,269,160,2,3,57.84313725490197,72.88135593220339,46.51162790697674,5,3,0.0,27,90,15.0,63,12,p2,Yannick Hanfmann,271,101,13,3,61.111111111111114,63.63636363636363,60.71428571428571,7,1,0.0,39,84,10.0,45,9
p1,Ernesto Escobedo,303,182,10,1,65.06024096385542,74.07407407407408,55.172413793103445,2,2,1.0,15,71,13.0,56,10,p2,Jozef Kovalik,284,71,6,0,60.37735849056604,81.25,57.14285714285714,5,0,0.0,27,65,8.0,38,8
p1,Michael Mmoh,332,166,6,1,61.224489795918366,86.66666666666667,78.94736842105263,3,2,0.0,19,60,12.0,41,10,p2,Sebastian Ofner,259,34,6,2,53.84615384615385,85.71428571428571,37.5,1,0,0.0,8,41,7.0,33,7
p1,John-Patrick Smith,312,135,7,0,75.75757575757575,69.33333333333334,66.66666666666666,2,1,1.0,33,101,16.0,68,14,p2,Viktor Galovic,299,80,13,2,74.48979591836735,72.6027397260274,48.0,10,1,0.0,31,96,16.0,65,15
p1,John-Patrick Smith,308,244,3,0,70.45454545454545,80.64516129032258,53.84615384615385,5,4,0.0,29,61,12.0,32,8,p2,Alexander Bublik,197,65,4,7,65.45454545454545,63.888888888888886,15.789473684210526,0,0,0.0,12,38,5.0,26,5
p1,Yannick Hanfmann,328,105,10,2,63.63636363636363,80.95238095238095,75.0,4,1,1.0,22,74,13.0,52,11,p2,Sam Groth,302,44,21,2,64.38356164383562,82.97872340425532,46.15384615384615,0,0,0.0,14,65,10.0,51,10
p1,Ernesto Escobedo,291,159,17,2,57.831325301204814,79.16666666666666,54.285714285714285,8,4,0.0,31,88,16.0,57,12,p2,James Duckworth,259,114,13,4,60.49382716049383,69.38775510204081,50.0,6,2,0.0,26,76,12.0,50,10
p1,Michael Mmoh,314,135,8,4,57.14285714285714,78.125,75.0,5,2,0.0,23,66,12.0,43,10,p2,Quentin Halys,257,47,9,5,47.540983606557376,72.41379310344827,53.125,4,0,0.0,13,51,8.0,38,8
p1,Peter Polansky,295,182,4,1,50.98039215686274,84.61538461538461,56.00000000000001,11,4,0.0,28,64,12.0,36,8,p2,Filip Peliwo,210,59,2,5,58.620689655172406,50.0,54.166666666666664,1,0,0.0,15,45,4.0,30,4
p1,Sebastian Ofner,284,131,17,3,67.05882352941175,68.42105263157895,57.14285714285714,10,3,1.0,36,91,15.0,55,11,p2,Marcelo Arevalo,259,134,4,4,60.86956521739131,64.28571428571429,55.55555555555556,8,3,0.0,30,86,14.0,56,11
p1,Viktor Galovic,307,134,7,0,67.90123456790124,74.54545454545455,65.38461538461539,12,3,0.0,35,93,16.0,58,13,p2,Renzo Olivo,254,167,8,5,60.67415730337079,74.07407407407408,40.0,1,1,0.0,23,77,11.0,54,10
p1,Jozef Kovalik,270,148,7,3,59.25925925925925,70.83333333333334,54.54545454545454,6,3,1.0,19,71,13.0,52,9,p2,Denis Kudla,261,112,6,4,57.6271186440678,85.29411764705883,44.0,10,2,0.0,29,69,10.0,40,8
p1,Gael Monfils,301,196,9,4,65.0,79.48717948717949,52.38095238095239,4,3,0.0,16,58,12.0,42,9,p2,Andrey Rublev,253,69,7,3,70.73170731707317,65.51724137931035,50.0,2,0,0.0,18,43,5.0,25,5
p1,Andrey Rublev,235,175,2,11,64.95726495726495,72.36842105263158,34.146341463414636,11,5,1.0,45,114,17.0,69,11,p2,Guido Pella,245,156,3,0,73.26732673267327,59.45945945945946,44.44444444444444,11,4,0.0,48,104,14.0,56,10
p1,Dominic Thiem,282,181,7,4,64.28571428571429,73.33333333333333,52.0,5,3,0.0,33,79,13.0,46,10,p2,Stefanos Tsitsipas,243,98,4,3,64.47368421052632,65.3061224489796,40.74074074074074,7,1,0.0,24,67,9.0,43,8
p1,Gael Monfils,273,162,8,4,72.85714285714285,72.54901960784314,42.10526315789473,6,3,1.0,28,73,13.0,45,9,p2,Peter Gojowczyk,239,170,0,0,51.470588235294116,60.0,57.57575757575758,3,2,0.0,25,65,9.0,40,7
p1,Guido Pella,324,169,7,1,81.48148148148148,77.27272727272727,60.0,7,3,0.0,19,59,12.0,40,9,p2,Mirza Basic,246,63,3,1,70.83333333333334,67.64705882352942,42.857142857142854,2,0,0.0,14,43,5.0,29,5
p1,Andrey Rublev,268,203,2,8,55.223880597014926,86.48648648648648,43.333333333333336,4,3,0.0,27,72,13.0,45,10,p2,Borna Coric,245,130,6,2,69.35483870967742,65.11627906976744,36.84210526315789,2,1,0.0,22,57,8.0,35,7
p1,Dominic Thiem,289,138,9,3,63.63636363636363,78.57142857142857,50.0,15,3,0.0,42,87,13.0,45,10,p2,Aljaz Bedene,240,113,1,1,59.375,64.91228070175438,43.58974358974359,3,1,0.0,21,75,9.0,54,8
p1,Stefanos Tsitsipas,297,161,4,2,61.016949152542374,86.11111111111111,47.82608695652174,3,2,0.0,20,62,12.0,42,10,p2,Richard Gasquet,282,66,2,0,75.0,64.28571428571429,64.28571428571429,0,0,0.0,17,53,7.0,36,7
p1,Andrey Rublev,240,159,3,9,61.386138613861384,67.74193548387096,43.58974358974359,7,4,0.0,27,86,15.0,59,11,p2,Fernando Verdasco,259,150,12,5,54.666666666666664,73.17073170731707,52.94117647058824,11,4,0.0,42,90,14.0,48,10
p1,Mirza Basic,312,99,8,1,64.7887323943662,71.73913043478261,68.0,5,1,1.0,24,74,13.0,50,11,p2,Feliciano Lopez,283,60,13,4,53.52112676056338,81.57894736842105,48.484848484848484,3,0,0.0,21,68,10.0,47,10
p1,Borna Coric,282,214,3,1,70.9090909090909,71.7948717948718,50.0,11,5,0.0,32,68,12.0,36,7,p2,Nikoloz Basilashvili,189,123,3,3,59.32203389830508,42.857142857142854,50.0,3,1,0.0,19,46,4.0,27,3
p1,Peter Gojowczyk,327,220,2,0,57.89473684210527,86.36363636363636,81.25,6,4,0.0,25,57,12.0,32,8,p2,Matteo Berrettini,208,33,3,2,60.0,56.666666666666664,40.0,0,0,0.0,6,31,4.0,25,4
p1,Gael Monfils,278,107,3,5,58.82352941176471,80.0,57.14285714285714,7,2,0.0,20,68,13.0,48,11,p2,Jan-Lennard Struff,281,145,5,3,58.46153846153847,71.05263157894737,66.66666666666666,3,2,0.0,20,65,12.0,45,10
p1,Guido Pella,290,180,2,1,71.66666666666667,72.09302325581395,64.70588235294117,8,4,1.0,36,78,13.0,42,8,p2,Stefano Travaglia,229,116,9,2,53.16455696202531,71.42857142857143,35.13513513513514,6,2,0.0,18,61,9.0,43,7
p1,Dominic Thiem,293,160,13,3,59.375,92.10526315789474,42.30769230769231,7,3,1.0,32,78,13.0,46,9,p2,Evgeny Donskoy,252,101,2,1,68.83116883116884,64.15094339622641,45.83333333333333,4,1,0.0,18,63,9.0,45,8
p1,Borna Coric,267,163,13,4,69.56521739130434,70.0,42.857142857142854,11,5,1.0,46,117,18.0,71,12,p2,Pablo Carreno Busta,248,148,3,2,66.36363636363637,61.64383561643836,51.35135135135135,11,4,0.0,44,108,15.0,64,11
p1,Jan-Lennard Struff,257,116,8,6,55.78947368421052,81.13207547169812,40.476190476190474,7,2,1.0,31,91,14.0,60,11,p2,Tomas Berdych,279,160,9,2,60.416666666666664,84.48275862068965,42.10526315789473,5,3,0.0,35,100,16.0,65,13
p1,Guido Pella,281,131,6,2,63.91752577319587,69.35483870967742,62.857142857142854,7,3,0.0,27,92,16.0,65,13,p2,Albert Ramos-Vinolas,285,113,10,2,66.27906976744185,75.43859649122807,55.172413793103445,11,3,0.0,32,91,16.0,59,13
p1,Richard Gasquet,319,256,7,0,59.45945945945946,86.36363636363636,66.66666666666666,8,5,0.0,24,53,12.0,29,7,p2,Victor Estrella Burgos,178,47,1,0,71.05263157894737,33.33333333333333,45.45454545454545,0,0,0.0,8,22,2.0,14,2
p1,Peter Gojowczyk,259,235,6,2,49.056603773584904,84.61538461538461,44.44444444444444,10,5,0.0,27,61,12.0,34,7,p2,Filip Krajinovic,178,160,1,4,67.3469387755102,57.57575757575758,18.75,3,2,0.0,19,41,5.0,22,3
p1,Fernando Verdasco,216,242,6,6,63.33333333333333,61.40350877192983,39.39393939393939,16,9,0.0,47,95,16.0,48,7,p2,Dudi Sela,170,186,1,4,59.756097560975604,46.93877551020408,36.36363636363637,15,6,0.0,42,77,10.0,35,4
p1,Feliciano Lopez,305,96,23,4,59.29203539823009,76.11940298507463,56.52173913043478,4,1,1.0,36,113,18.0,77,16,p2,Guillermo Garcia-Lopez,294,80,9,2,59.45945945945946,69.6969696969697,64.44444444444444,13,1,0.0,36,111,17.0,75,16
p1,Mirza Basic,330,158,8,0,63.26530612244898,80.64516129032258,77.77777777777779,7,3,0.0,29,68,12.0,39,9,p2,Andreas Haider-Maurer,251,41,9,4,61.42857142857143,62.7906976744186,51.85185185185185,3,0,0.0,10,51,7.0,41,7
p1,Nikoloz Basilashvili,278,180,0,1,73.77049180327869,62.22222222222222,62.5,9,4,0.0,26,64,12.0,38,8,p2,Thomas Fabbiano,228,129,1,1,65.45454545454545,50.0,57.89473684210527,6,2,0.0,23,52,7.0,29,5
p1,Aljaz Bedene,273,228,9,0,57.99999999999999,86.20689655172413,42.857142857142854,11,6,0.0,39,73,13.0,34,7,p2,Malek Jaziri,188,143,2,5,63.51351351351351,57.446808510638306,29.629629629629626,4,2,0.0,16,51,6.0,35,4
p1,Matteo Berrettini,276,130,12,2,57.291666666666664,81.81818181818183,46.34146341463415,13,3,1.0,46,110,17.0,64,13,p2,Viktor Troicki,272,150,6,3,77.04918032786885,68.08510638297872,42.857142857142854,5,3,0.0,32,108,16.0,76,13
p1,Gael Monfils,260,172,7,6,64.77272727272727,77.19298245614034,38.70967741935484,7,4,0.0,31,87,15.0,56,11,p2,Paolo Lorenzi,248,143,3,3,64.1025641025641,70.0,42.857142857142854,8,3,0.0,32,79,13.0,47,10
p1,Andrey Rublev,274,283,2,5,52.0,100.0,25.0,3,3,0.0,13,29,6.0,16,3,p2,Cedrik-Marcel Stebe,155,75,0,1,39.130434782608695,55.55555555555556,35.714285714285715,1,0,0.0,9,19,1.0,10,1
p1,Stefano Travaglia,324,241,8,2,58.82352941176471,95.0,64.28571428571429,9,5,0.0,28,56,12.0,28,7,p2,Jabor Al-Mutawa,193,41,0,2,80.0,47.5,30.0,0,0,0.0,6,28,3.0,22,3
p1,Stefanos Tsitsipas,280,143,10,0,61.904761904761905,82.6923076923077,43.75,11,4,0.0,41,98,17.0,57,13,p2,Florian Mayer,251,151,0,1,59.43396226415094,71.42857142857143,46.51162790697674,5,3,0.0,27,92,15.0,65,12
p1,Mirza Basic,305,118,16,1,64.84375,73.49397590361446,64.44444444444444,6,2,2.0,44,134,20.0,90,16,p2,Andreas Seppi,290,103,19,3,60.15625,76.62337662337663,49.01960784313725,7,2,1.0,38,122,19.0,84,16
p1,Matteo Berrettini,307,144,9,0,68.4931506849315,78.0,60.86956521739131,4,2,1.0,31,84,14.0,53,11,p2,Maximilian Marterer,279,94,5,2,71.08433734939759,64.40677966101694,58.333333333333336,4,1,0.0,20,72,11.0,52,10
p1,Stefanos Tsitsipas,257,141,0,2,54.166666666666664,84.61538461538461,45.45454545454545,10,3,2.0,38,86,14.0,48,9,p2,Elias Ymer,252,145,1,2,64.04494382022472,57.89473684210527,56.25,6,3,0.0,24,75,12.0,51,9
p1,Stefano Travaglia,300,179,21,4,51.78571428571429,93.10344827586206,48.148148148148145,9,4,0.0,27,67,13.0,40,9,p2,Aldin Setkic,234,89,1,1,69.35483870967742,62.7906976744186,42.10526315789473,5,1,0.0,16,51,7.0,35,6
p1,Andreas Seppi,257,211,3,0,44.230769230769226,78.26086956521739,55.172413793103445,7,5,0.0,23,57,12.0,34,7,p2,Calvin Hemery,198,122,3,8,42.857142857142854,71.42857142857143,39.285714285714285,6,2,0.0,18,44,7.0,26,5
p1,Maximilian Marterer,330,283,7,0,70.58823529411765,91.66666666666666,60.0,6,5,0.0,22,50,12.0,28,7,p2,Mousa Shanan Zayed,160,48,0,1,62.16216216216216,56.52173913043478,14.285714285714285,0,0,0.0,6,21,2.0,15,2
p1,Stefanos Tsitsipas,283,191,3,0,72.0,66.66666666666666,64.28571428571429,12,5,0.0,36,69,12.0,33,7,p2,Mubarak Shannan Zayid,206,158,4,2,53.42465753424658,53.84615384615385,47.05882352941176,3,2,0.0,17,54,7.0,37,5
p1,Aldin Setkic,305,183,5,3,68.96551724137932,77.5,55.55555555555556,6,3,0.0,24,65,12.0,41,9,p2,Dustin Brown,222,67,5,5,55.769230769230774,68.96551724137932,34.78260869565217,4,0,0.0,17,45,5.0,28,5
p1,Elias Ymer,331,129,0,0,68.75,81.81818181818183,80.0,2,1,0.0,6,19,4.0,13,3,p2,Pedro Sousa,301,38,0,0,81.25,53.84615384615385,100.0,1,0,0.0,3,13,2.0,10,2
p1,Stefano Travaglia,302,127,21,3,59.154929577464785,83.33333333333334,58.620689655172406,7,2,2.0,41,93,14.0,52,10,p2,Vaclav Safranek,256,114,6,7,55.88235294117647,64.91228070175438,53.333333333333336,5,2,0.0,19,80,12.0,61,10
p1,Matteo Berrettini,310,158,10,1,57.8125,83.78378378378379,59.25925925925925,4,2,0.0,30,77,13.0,47,11,p2,Liam Broady,257,57,2,0,64.47368421052632,73.46938775510205,37.03703703703704,1,0,0.0,17,63,9.0,46,9
p1,Mirza Basic,294,117,8,2,61.25000000000001,69.38775510204081,58.06451612903226,6,2,0.0,14,66,12.0,52,10,p2,Alexey Vatutin,278,73,0,1,64.44444444444444,68.96551724137932,68.75,9,0,0.0,28,59,7.0,31,7
p1,Gilles Simon,321,156,1,1,81.53846153846153,73.58490566037736,75.0,8,3,1.0,28,76,13.0,48,9,p2,Kevin Anderson,262,81,15,2,67.16417910447761,62.22222222222222,50.0,5,1,0.0,17,56,8.0,39,7
p1,Gilles Simon,245,195,0,3,65.11627906976744,60.71428571428571,46.666666666666664,5,4,0.0,26,74,13.0,48,9,p2,Marin Cilic,248,147,9,1,56.060606060606055,72.97297297297297,44.827586206896555,10,3,0.0,38,78,11.0,40,8
p1,Kevin Anderson,326,119,26,3,69.1588785046729,74.32432432432432,66.66666666666666,9,3,1.0,33,110,19.0,77,15,p2,Benoit Paire,267,85,6,4,51.48514851485149,76.92307692307693,57.14285714285714,5,1,1.0,30,98,14.0,68,12
p1,Marin Cilic,322,206,7,1,54.54545454545454,95.83333333333334,65.0,4,3,0.0,21,57,12.0,36,9,p2,Pierre-Hugues Herbert,219,39,2,5,54.347826086956516,68.0,38.095238095238095,0,0,0.0,8,33,5.0,25,5
p1,Kevin Anderson,303,144,24,7,67.0103092783505,84.61538461538461,40.625,12,4,0.0,47,115,18.0,68,14,p2,Mikhail Kukushkin,249,97,4,4,60.86956521739131,64.28571428571429,51.11111111111111,6,1,1.0,29,97,13.0,68,11
p1,Benoit Paire,226,173,9,7,40.95238095238095,72.09302325581395,45.16129032258064,10,5,0.0,39,98,15.0,59,10,p2,Robin Haase,237,166,7,4,58.24175824175825,62.264150943396224,50.0,10,5,0.0,46,98,14.0,52,9
p1,Gilles Simon,284,199,3,3,46.666666666666664,85.71428571428571,62.5,9,4,0.0,31,64,12.0,33,8,p2,Ricardo Ojeda Lara,201,163,1,2,56.666666666666664,52.94117647058824,42.30769230769231,1,1,0.0,12,41,5.0,29,4
p1,Marin Cilic,300,202,8,1,52.0,88.46153846153845,62.5,4,3,0.0,25,63,12.0,38,9,p2,Ramkumar Ramanathan,239,160,5,1,62.5,62.857142857142854,42.857142857142854,1,1,0.0,12,43,7.0,31,6
p1,Kevin Anderson,326,102,10,1,57.77777777777777,84.61538461538461,73.68421052631578,4,1,1.0,20,56,10.0,36,8,p2,Thiago Monteiro,276,41,5,2,50.81967213114754,70.96774193548387,63.33333333333333,0,0,0.0,9,50,8.0,41,8
p1,Gilles Simon,260,156,4,2,56.97674418604651,69.38775510204081,51.35135135135135,7,3,1.0,30,83,13.0,53,9,p2,Roberto Bautista Agut,240,138,0,4,57.333333333333336,69.76744186046511,46.875,5,2,0.0,33,78,9.0,45,7
p1,Benoit Paire,243,140,10,7,43.35664335664335,85.48387096774194,35.80246913580247,21,5,1.0,59,141,19.0,82,13,p2,Marton Fucsovics,239,127,4,6,58.45070422535211,67.46987951807229,45.76271186440678,16,4,1.0,61,144,17.0,83,12
p1,Robin Haase,289,116,13,2,60.57692307692307,79.36507936507937,51.21951219512195,5,2,1.0,33,104,17.0,71,14,p2,Nicolas Jarry,292,122,12,3,59.813084112149525,76.5625,58.139534883720934,5,2,0.0,33,107,17.0,74,15
p1,Mikhail Kukushkin,277,139,0,1,72.97297297297297,72.22222222222221,50.0,9,3,1.0,33,82,14.0,49,10,p2,Laslo Djere,245,194,6,4,49.382716049382715,75.0,43.90243902439025,2,2,0.0,25,73,11.0,48,9
p1,Pierre-Hugues Herbert,304,181,13,2,62.5,76.36363636363637,60.60606060606061,2,2,0.0,23,85,16.0,62,14,p2,Yuki Bhambri,273,82,1,3,56.75675675675676,85.71428571428571,46.875,8,1,0.0,26,77,13.0,51,12
p1,Ricardo Ojeda Lara,276,181,0,0,62.16216216216216,67.3913043478261,57.14285714285714,4,3,0.0,19,66,12.0,47,9,p2,Ilya Ivashka,255,100,4,3,60.0,78.78787878787878,45.45454545454545,7,1,0.0,27,63,8.0,36,7
p1,Robin Haase,259,162,7,3,61.25000000000001,71.42857142857143,48.38709677419355,12,4,1.0,40,90,14.0,50,9,p2,Blaz Kavcic,228,166,1,2,58.82352941176471,57.99999999999999,45.714285714285715,5,3,0.0,30,75,11.0,45,8
p1,Ricardo Ojeda Lara,291,134,3,0,71.25,70.17543859649122,56.52173913043478,8,2,1.0,30,83,13.0,53,10,p2,Jiri Vesely,260,115,15,9,63.013698630136986,67.3913043478261,44.44444444444444,3,1,0.0,27,70,9.0,43,8
p1,Mikhail Kukushkin,277,164,2,0,59.756097560975604,67.3469387755102,57.57575757575758,9,3,1.0,40,92,13.0,52,9,p2,Radu Albot,229,96,5,6,61.1764705882353,63.46153846153846,36.36363636363637,9,1,0.0,30,75,8.0,45,7
p1,Pierre-Hugues Herbert,275,176,11,7,64.40677966101694,75.0,45.23809523809524,6,4,1.0,43,119,19.0,76,14,p2,Marco Cecchinato,258,110,5,4,66.05504587155964,66.66666666666666,48.64864864864865,11,2,1.0,42,108,15.0,66,12
p1,Yuki Bhambri,286,213,2,0,70.83333333333334,64.70588235294117,71.42857142857143,9,5,0.0,33,65,12.0,32,7,p2,Arjun Kadhe,205,186,5,5,62.121212121212125,60.97560975609756,32.0,2,2,0.0,16,49,7.0,33,5
p1,Laslo Djere,263,169,8,8,58.333333333333336,80.35714285714286,42.5,6,4,0.0,43,105,18.0,62,14,p2,Marius Copil,247,145,9,8,49.074074074074076,79.24528301886792,41.81818181818181,6,3,0.0,34,99,16.0,65,13
p1,Marton Fucsovics,325,224,2,0,72.22222222222221,80.76923076923077,70.0,9,5,0.0,26,54,12.0,28,7,p2,Nicolas Kicker,186,49,2,2,55.10204081632652,44.44444444444444,50.0,0,0,0.0,8,31,3.0,23,3
p1,Ilya Ivashka,286,195,5,2,60.78431372549019,74.19354838709677,60.0,8,4,0.0,34,69,12.0,35,8,p2,Sumit Nagal,208,127,2,3,55.223880597014926,48.64864864864865,50.0,2,1,0.0,16,49,6.0,33,5
p1,Nicolas Jarry,285,139,9,5,60.0,76.19047619047619,57.14285714285714,9,4,0.0,38,110,19.0,72,15,p2,Pablo Andujar,265,107,4,5,62.38532110091744,69.11764705882352,58.536585365853654,7,2,1.0,33,104,16.0,71,13
p1,Thiago Monteiro,286,152,6,6,57.01754385964912,86.15384615384616,48.97959183673469,3,2,1.0,33,113,19.0,80,16,p2,Ruben Bemelmans,291,87,8,1,70.09345794392523,77.33333333333333,50.0,6,1,1.0,34,108,16.0,74,14
p1,Ramkumar Ramanathan,308,142,8,2,69.35483870967742,86.04651162790698,47.368421052631575,5,2,1.0,28,74,13.0,46,10,p2,Roberto Carballes Baena,255,67,1,4,60.273972602739725,72.72727272727273,44.827586206896555,2,0,0.0,16,61,8.0,45,8
